Provinsi,Produksi Daging Sapi menurut Provinsi (Ton),,
,2020,2021,2022
ACEH,12927.76,11674.10,12014.96
SUMATERA UTARA,12986.16,13745.06,13859.09
SUMATERA BARAT,20980.53,21375.13,21514.66
RIAU,8737.30,8948.70,9127.69
JAMBI,5543.42,4638.46,5760.10
SUMATERA SELATAN,14358.28,13832.62,15458.87
BENGKULU,3075.23,4348.01,3329.27
LAMPUNG,14930.42,21130.03,21176.20
KEP. BANGKA BELITUNG,2986.10,3233.04,3395.04
KEP. RIAU,2263.10,1453.07,1390.39
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
